,i,train_count,epochs,optimizer,loss,is_x,x_wins,o_wins,draws
0,0,100,10,adam,mse,True,715,190,95
1,1,100,10,adam,mse,True,716,175,109
2,2,100,10,adam,mse,True,708,207,85
3,3,100,10,adam,mse,True,675,217,108
4,4,100,10,adam,mse,True,522,373,105
5,0,200,10,adam,mse,True,748,114,138
6,1,200,10,adam,mse,True,783,161,56
7,2,200,10,adam,mse,True,692,214,94
8,3,200,10,adam,mse,True,584,245,171
9,4,200,10,adam,mse,True,841,101,58
10,0,500,10,adam,mse,True,607,186,207
11,1,500,10,adam,mse,True,823,71,106
12,2,500,10,adam,mse,True,651,216,133
13,3,500,10,adam,mse,True,825,116,59
14,4,500,10,adam,mse,True,723,156,121
15,0,1000,10,adam,mse,True,798,123,79
16,1,1000,10,adam,mse,True,872,78,50
17,2,1000,10,adam,mse,True,935,35,30
18,3,1000,10,adam,mse,True,864,47,89
19,4,1000,10,adam,mse,True,858,42,100
20,0,2000,10,adam,mse,True,956,13,31
21,1,2000,10,adam,mse,True,934,21,45
22,2,2000,10,adam,mse,True,948,10,42
23,3,2000,10,adam,mse,True,942,26,32
24,4,2000,10,adam,mse,True,966,18,16
