,i,train_count,epochs,x_wins,o_wins,draws
0,0,5000,1,511,322,167
1,1,5000,1,462,418,120
2,2,5000,1,463,465,72
3,3,5000,1,580,285,135
4,4,5000,1,400,492,108
5,5,5000,1,436,360,204
6,6,5000,1,725,236,39
7,7,5000,1,761,79,160
8,8,5000,1,450,356,194
9,9,5000,1,423,476,101
10,0,5000,2,251,538,211
11,1,5000,2,274,597,129
12,2,5000,2,432,325,243
13,3,5000,2,320,503,177
14,4,5000,2,532,291,177
15,5,5000,2,324,437,239
16,6,5000,2,258,504,238
17,7,5000,2,352,437,211
18,8,5000,2,384,390,226
19,9,5000,2,325,418,257
20,0,5000,3,111,617,272
21,1,5000,3,284,458,258
22,2,5000,3,129,565,306
23,3,5000,3,335,493,172
24,4,5000,3,151,591,258
25,5,5000,3,205,573,222
26,6,5000,3,157,696,147
27,7,5000,3,258,434,308
28,8,5000,3,403,476,121
29,9,5000,3,240,554,206
30,0,5000,5,78,618,304
31,1,5000,5,101,658,241
32,2,5000,5,127,526,347
33,3,5000,5,77,671,252
34,4,5000,5,275,574,151
35,5,5000,5,163,641,196
36,6,5000,5,121,604,275
37,7,5000,5,146,564,290
38,8,5000,5,95,735,170
39,9,5000,5,97,731,172
40,0,5000,8,83,644,273
41,1,5000,8,84,609,307
42,2,5000,8,69,705,226
43,3,5000,8,96,719,185
44,4,5000,8,121,653,226
45,5,5000,8,136,674,190
46,6,5000,8,67,664,269
47,7,5000,8,86,722,192
48,8,5000,8,210,560,230
49,9,5000,8,94,625,281
50,0,5000,10,120,594,286
51,1,5000,10,126,571,303
52,2,5000,10,109,601,290
53,3,5000,10,230,468,302
54,4,5000,10,69,640,291
55,5,5000,10,72,539,389
56,6,5000,10,77,591,332
57,7,5000,10,127,573,300
58,8,5000,10,80,431,489
59,9,5000,10,59,602,339
60,0,5000,15,103,673,224
61,1,5000,15,83,513,404
62,2,5000,15,129,497,374
63,3,5000,15,406,220,374
64,4,5000,15,95,565,340
65,5,5000,15,197,521,282
66,6,5000,15,160,474,366
67,7,5000,15,118,504,378
68,8,5000,15,64,652,284
69,9,5000,15,88,654,258
70,0,5000,20,115,564,321
71,1,5000,20,112,462,426
72,2,5000,20,182,589,229
73,3,5000,20,125,645,230
74,4,5000,20,78,463,459
75,5,5000,20,173,551,276
76,6,5000,20,110,475,415
77,7,5000,20,159,546,295
78,8,5000,20,483,232,285
79,9,5000,20,354,449,197
80,0,5000,25,153,429,418
81,1,5000,25,110,475,415
82,2,5000,25,99,527,374
83,3,5000,25,189,532,279
84,4,5000,25,108,566,326
85,5,5000,25,191,337,472
86,6,5000,25,160,428,412
87,7,5000,25,131,586,283
88,8,5000,25,123,570,307
89,9,5000,25,331,247,422
