,i,train_count,epochs,x_wins,o_wins,draws,hiden_size,in_shape
0,0,5000,10,842,126,32,10,9
1,1,5000,10,401,507,92,10,9
2,2,5000,10,783,137,80,10,9
3,3,5000,10,734,173,93,10,9
4,4,5000,10,488,311,201,10,9
5,0,5000,10,828,68,104,20,9
6,1,5000,10,780,128,92,20,9
7,2,5000,10,931,57,12,20,9
8,3,5000,10,873,78,49,20,9
9,4,5000,10,800,98,102,20,9
10,0,5000,10,973,11,16,40,9
11,1,5000,10,926,11,63,40,9
12,2,5000,10,950,27,23,40,9
13,3,5000,10,920,28,52,40,9
14,4,5000,10,866,57,77,40,9
15,0,5000,10,938,24,38,50,9
16,1,5000,10,947,30,23,50,9
17,2,5000,10,937,33,30,50,9
18,3,5000,10,971,24,5,50,9
19,4,5000,10,959,39,2,50,9
20,0,5000,10,779,149,72,100,9
21,1,5000,10,975,0,25,100,9
22,2,5000,10,917,32,51,100,9
23,3,5000,10,945,9,46,100,9
24,4,5000,10,973,6,21,100,9
25,0,5000,10,971,15,14,150,9
26,1,5000,10,979,0,21,150,9
27,2,5000,10,988,5,7,150,9
28,3,5000,10,954,0,46,150,9
29,4,5000,10,976,4,20,150,9
30,0,5000,10,976,8,16,200,9
31,1,5000,10,956,5,39,200,9
32,2,5000,10,976,0,24,200,9
33,3,5000,10,954,8,38,200,9
34,4,5000,10,974,10,16,200,9
35,0,5000,10,976,5,19,300,9
36,1,5000,10,984,8,8,300,9
37,2,5000,10,993,0,7,300,9
38,3,5000,10,976,6,18,300,9
39,4,5000,10,975,7,18,300,9
40,0,5000,10,966,13,21,500,9
41,1,5000,10,974,8,18,500,9
42,2,5000,10,969,19,12,500,9
43,3,5000,10,986,5,9,500,9
44,4,5000,10,996,0,4,500,9
